nro;altitude;country;county;latitude;localname;abs(longitude);municipality;res_org;treespecies
166346;360;Sweden;Norrbottens län;67.37;Gällivare, Skaulo;21.27;Gällivare;SLU;,Pinus sylvestris,
166347;430;Sweden;Norrbottens län;66.12; Varjisåvattnet;19.48;Arvidsjaur;SLU;,Pinus sylvestris,
166348;450;Sweden;Norrbottens län;65.76;Balkesåive;19.28;Arvidsjaur;SLU;,Pinus sylvestris,
166351;460;Sweden;Västerbottens län;65.59;Gruddnaliden;16.92;Sorsele;SLU;,Pinus sylvestris,
166352;500;Sweden;Västerbottens län;64.97;Gunnarn, Jovan;17.45;Stensele;SLU;,Pinus sylvestris,
166357;520;Sweden;Jämtlands län;63.04;Häggsåsen;14.03;Berg;SLU;,Pinus sylvestris,
166360;245;Sweden;Västernorrlands län;63.65;Tällvattensmon;17.97;Örnsköldsvik;SLU;,Pinus sylvestris,Picea abies,
166361;140;Sweden;Västerbottens län;64.16;Rosinedal;19.83;Vindeln;SLU;,Pinus sylvestris,
166366;440;Sweden;Jämtlands län;62.53;Östbodarna;14.36;Berg;SLU;,Pinus contorta,Pinus sylvestris,Picea abies,
166368;65;Sweden;Östergötlands län;58.99;Lyttersta;15.89;Finspång;SLU;,Pinus sylvestris,
166369;135;Sweden;Östergötlands län;58.68;Fläda;15.04;Finspång;SLU;,Pinus sylvestris,
166370;135;Sweden;Östergötlands län;58.68;Fläda;15.04;Finspång;SLU;,Picea abies,Pinus sylvestris,
166371;135;Sweden;Östergötlands län;58.68;Fläda;15.04;Finspång;SLU;,Picea abies,Pinus sylvestris,
166376;80;Sweden;Västerbottens län;63.93;Spöland;19.86;Vännäs;SLU;,Abies sibirica,Betula pendula,Larix sukaczewii,Picea abies,Picea glauca,Pinus contorta,Pinus sylvestris,Populus,
166377;300;Sweden;Västerbottens län;64.26;Svartbergets FP;19.79;Vindeln;SLU;,Abies lasiocarpa,Abies sibirica,Betula pendula,Larix sukaczewii,Picea abies,Picea glauca,Picea mariana,Pinus banksiana,Pinus contorta,Pinus sylvestris,
166378;10;Sweden;Västerbottens län;63.88;Sävar;20.54;Umeå;SLU;,Abies sibirica,Betula pendula,Larix sukaczewii,Picea abies,Picea glauca,Pinus contorta,Pinus sylvestris,Populus,
166379;300;Sweden;Västerbottens län;64.69;Manjaur;19.3;Åmsele;SLU;,Abies lasiocarpa,Abies sibirica,Betula pendula,Larix sukaczewii,Picea abies,Picea glauca,Picea mariana,Pinus banksiana,Pinus contorta,Pinus sylvestris,
166381;195;Sweden;Dalarnas län;60.31;Garpenberg;16.29;Hedemora;SLU;,Betula pendula,Larix x eurolepis,Larix sukaczewii,Picea abies,Picea glauca,Picea mariana,Pinus contorta,Pinus sylvestris,Pseudotsuga menziesii,
166384;278;Sweden;Kronobergs län;57.08;Asa FP A035;14.46;Växjö;SLU;,Betula pendula,Larix x eurolepis,Picea abies,Picea glauca,Picea mariana,Pinus contorta,Pinus sylvestris,Pseudotsuga menziesii,
166390;285;Sweden;Norrbottens län;66.03;Solberget;20.27;Jokkmokk;SLU;,Picea abies,Pinus sylvestris,Betula,
166393;340;Sweden;Västerbottens län;65.25;Fågelmyrkölen;19.11;Malå;SLU;,Picea abies,Pinus sylvestris,Betula,
166394;450;Sweden;Västerbottens län;65.05;Rävliden;18.47;Lycksele;SLU;,Picea abies,Pinus sylvestris,Betula,
166396;320;Sweden;Västernorrlands län;63.31;Stenbittjärn;17.66;Örnsköldsvik;SLU;,Picea abies,Pinus sylvestris,Betula,
166397;285;Sweden;Västernorrlands län;63.17;Svartnäsudden;18.08;Örnsköldsvik;SLU;,Picea abies,Pinus sylvestris,Betula,
166398;390;Sweden;Gävleborgs län;62.29;Ensjöreservatet;15.54;Ljusdal;SLU;,Picea abies,Pinus sylvestris,Betula,
166399;405;Sweden;Gävleborgs län;62.3;Ensjöreservatet;15.54;Ljusdal;SLU;,Picea abies,Pinus sylvestris,Betula,
166400;315;Sweden;Gävleborgs län;62.2;Brassberget;15.72;Ljusdal;SLU;,Picea abies,Pinus sylvestris,Betula,
166401;310;Sweden;Dalarnas län;61.29;Gåsberget;15.35;Rättvik;SLU;,Picea abies,Pinus sylvestris,Betula,
166402;200;Sweden;Västerbottens län;64.24;Svartbergets FP;19.8;Vindeln;SLU;,Pinus sylvestris,
166403;210;Sweden;Västerbottens län;64.14;Svartbergets FP;19.46;Vindeln;SLU;,Pinus sylvestris,
166404;205;Sweden;Västerbottens län;64.24;Svartbergets FP;19.81;Vindeln;SLU;,Pinus sylvestris,
166405;230;Sweden;Västerbottens län;64.16;Björkl.Mickelstr.;20.11;Robertsfors;SLU;,Pinus sylvestris,Picea abies,Betula,Pinus contorta,
166407;300;Sweden;Västerbottens län;64.17;Kulbäckslidens FP;19.6;Vindeln;SLU;,Pinus sylvestris,Picea abies,
166408;145;Sweden;Västerbottens län;64.16;Rosinedal;19.83;Vindeln;SLU;,Pinus sylvestris,
166409;170;Sweden;Västerbottens län;64.03;Kvarnlund;19.84;Vindeln;SLU;,Pinus sylvestris,Betula pubescens,
166411;380;Sweden;Västerbottens län;65.3;Mellanl;18.76;Malå;SLU;,Pinus sylvestris,
166414;187;Sweden;Västerbottens län;64.22;Mulltjälen, mjäla;19.76;Vindeln;SLU;,Pinus sylvestris,
166415;255;Sweden;Västerbottens län;64.25;Renberget, morän;19.8;Vindeln;SLU;,Pinus sylvestris,
166418;200;Sweden;Västerbottens län;64.24;Renberget;19.8;Vindeln;SLU;,Pinus sylvestris,
166419;420;Sweden;Norrbottens län;66.83;Ätnarova FP;21.23;Gällivare;SLU;,Pinus sylvestris,Pinus contorta,
166420;190;Sweden;Västerbottens län;64.18;Kulbäckslidens FP;19.61;Vindeln;SLU;,Pinus sylvestris,Picea abies,
166421;174;Sweden;Västerbottens län;64.23;Svartbergets FP;19.81;Vindeln;SLU;,Pinus sylvestris,
166426;300;Sweden;Västerbottens län;64.15;Kulbäckslidens FP ;19.59;Vindeln;SLU;,Pinus sylvestris,
166427;298;Sweden;Västerbottens län;64.15;Kulbäckslidens FP ;19.59;Vindeln;SLU;,Pinus sylvestris,
166429;260;Sweden;Västerbottens län;64.26;Svartbergets FP;19.79;Vindeln;SLU;,Pinus sylvestris,
166430;295;Sweden;Västerbottens län;64.16;Kulbäckslidens FP ;19.58;Vindeln;SLU;,Pinus sylvestris,
166431;280;Sweden;Västerbottens län;64.17;Kulbäckslidens FP ;19.54;Vindeln;SLU;,Pinus sylvestris,
166432;290;Sweden;Västerbottens län;64.16;Kulbäckslidens FP ;19.56;Vindeln;SLU;,Pinus sylvestris,
166433;210;Sweden;Västerbottens län;64.14;Kulbäckslidens FP ;19.68;Vindeln;SLU;,Pinus sylvestris,
166434;210;Sweden;Västerbottens län;64.14;Kulbäckslidens FP ;19.68;Vindeln;SLU;,Pinus sylvestris,
166436;290;Sweden;Västerbottens län;64.35;Kulbäckslidens FP ;19.95;Vindeln;SLU;,Pinus sylvestris,
166437;270;Sweden;Västerbottens län;64.15;Kulbäckslidens FP ;19.61;Vindeln;SLU;,Pinus sylvestris,
166438;270;Sweden;Västerbottens län;64.14;Kulbäckslidens FP ;19.61;Vindeln;SLU;,Pinus sylvestris,
166439;270;Sweden;Västerbottens län;64.14;Kulbäckslidens FP ;19.6;Vindeln;SLU;,Pinus sylvestris,
166441;290;Sweden;Västerbottens län;64.16;Kulbäckslidens FP ;19.56;Vindeln;SLU;,Pinus sylvestris,
166443;280;Sweden;Västerbottens län;64.16;Kulbäckslidens FP ;19.56;Vindeln;SLU;,Pinus sylvestris,
